algorithm,dataset,original_size,compressed_size,encode_time,decode_time,peak_memory,dictionary_size,original_bases,lossless,compression_ratio_%,bits_per_base,encode_throughput_bases_per_sec,decode_throughput_bases_per_sec
VCSDplus,codon_conserved_variation_test.fasta,23643,8484,0.030118675902485847,0.025331933051347733,6.093747138977051,158.287109375,23643,True,35.8838,2.8707,784994.6683,933327.9048
VCSDplus_entropy,codon_conserved_variation_test.fasta,23643,6682,0.028480108361691236,0.02540705306455493,5.460367202758789,158.287109375,23643,True,28.2621,2.261,830158.3582,930568.3717
DNACompress,codon_conserved_variation_test.fasta,23643,9541,0.02344488399103284,0.0011576851829886436,4.314470291137695,184.65625,23643,True,40.3544,3.2284,1008450.2875,20422650.6026
LZ78_style,codon_conserved_variation_test.fasta,23643,14379,0.01657027378678322,0.003950930666178465,2.789870262145996,23.087890625,23643,True,60.8172,4.8654,1426832.1878,5984159.6823
LZSS,codon_conserved_variation_test.fasta,23643,9708,0.3365997700020671,0.001289845909923315,0.5467071533203125,1.0,23643,True,41.0608,3.2849,70240.6897,18330096.5008
2bit_pack,codon_conserved_variation_test.fasta,23643,5915,0.0011869180016219616,0.0012930938974022865,0.21965408325195312,0.0,23643,True,25.018,2.0014,19919657.4386,18284055.0462
gzip_lvl9,codon_conserved_variation_test.fasta,23643,3670,0.002083898987621069,6.124796345829964e-05,0.33213138580322266,0.0,23643,True,15.5226,1.2418,11345559.5211,386020998.3324
zlib_lvl9,codon_conserved_variation_test.fasta,23643,3658,0.0020193862728774548,3.977632150053978e-05,0.33213138580322266,0.0,23643,True,15.4718,1.2377,11708012.6361,594398856.1054
bz2_lvl9,codon_conserved_variation_test.fasta,23643,4291,0.0014080069959163666,0.0003086579963564873,7.250489234924316,0.0,23643,True,18.1491,1.4519,16791819.9757,76599343.8663
lzma_default,codon_conserved_variation_test.fasta,23643,2684,0.010350578930228949,0.0001434730365872383,93.1564884185791,0.0,23643,True,11.3522,0.9082,2284220.0576,164790545.7526
VCSDplus,large_test.fasta,20068,7863,0.07494272105395794,0.07185027375817299,12.736300468444824,509.6484375,20068,True,39.1818,3.1345,267777.8404,279303.0416
VCSDplus_entropy,large_test.fasta,20068,4856,0.0736651299521327,0.0719608822837472,12.28268814086914,509.6484375,20068,True,24.1977,1.9358,272421.9724,278873.7348
DNACompress,large_test.fasta,20068,14247,0.028235995210707188,0.0011536376550793648,4.757779121398926,149.9375,20068,True,70.9936,5.6795,710724.0191,17395409.9987
LZ78_style,large_test.fasta,20068,11945,0.006144542247056961,0.0032371357083320618,2.346456527709961,19.5947265625,20068,True,59.5226,4.7618,3265987.7975,6199307.6003
LZSS,large_test.fasta,20068,10312,0.3954455768689513,0.0012753983028233051,0.5434236526489258,1.0,20068,True,51.3853,4.1108,50747.8176,15734692.4138
2bit_pack,large_test.fasta,20068,5021,0.001008196733891964,0.001110950019210577,0.1938791275024414,0.0,20068,True,25.0199,2.0016,19904845.2801,18063818.9414
gzip_lvl9,large_test.fasta,20068,3490,0.0014054789207875729,4.411255940794945e-05,0.32531261444091797,0.0,20068,True,17.3909,1.3913,14278406.9567,454927128.9025
zlib_lvl9,large_test.fasta,20068,3478,0.001350743230432272,2.9919669032096863e-05,0.32531261444091797,0.0,20068,True,17.3311,1.3865,14857005.7935,670729344.5817
bz2_lvl9,large_test.fasta,20068,3181,0.0021920432336628437,0.00022052880376577377,7.242611885070801,0.0,20068,True,15.8511,1.2681,9154928.9229,90999450.6718
lzma_default,large_test.fasta,20068,3304,0.004846216179430485,0.00013684900477528572,93.15026092529297,0.0,20068,True,16.464,1.3171,4140962.6102,146643375.5434
VCSDplus,medium_test.fasta,7834,3019,0.02103784680366516,0.019944098312407732,3.8984994888305664,138.9921875,7834,True,38.5371,3.083,372376.5114,392797.9033
VCSDplus_entropy,medium_test.fasta,7834,1894,0.020982950925827026,0.01998040173202753,3.7225570678710938,138.9921875,7834,True,24.1767,1.9341,373350.7278,392084.2086
DNACompress,medium_test.fasta,7834,6891,0.010648692026734352,0.00046046730130910873,2.1431798934936523,61.1484375,7834,True,87.9627,7.037,735677.2062,17013151.5913
LZ78_style,medium_test.fasta,7834,5141,0.0024746358394622803,0.0013638949021697044,0.9788990020751953,7.6484375,7834,True,65.6242,5.2499,3165718.315,5743844.3296
LZSS,medium_test.fasta,7834,4195,0.15142199164256454,0.0005162423476576805,0.21751976013183594,1.0,7834,True,53.5486,4.2839,51736.2103,15175043.3407
2bit_pack,medium_test.fasta,7834,1963,0.0003947862423956394,0.00043440237641334534,0.07548809051513672,0.0,7834,True,25.0574,2.0046,19843649.9521,18033971.3256
gzip_lvl9,medium_test.fasta,7834,1475,0.00032059429213404655,3.190385177731514e-05,0.30197811126708984,0.0,7834,True,18.8282,1.5063,24435868.6109,245550288.2436
zlib_lvl9,medium_test.fasta,7834,1463,0.0002852650359272957,1.3792421668767929e-05,0.30197811126708984,0.0,7834,True,18.675,1.494,27462180.8261,567993075.3379
bz2_lvl9,medium_test.fasta,7834,1362,0.00046945782378315926,9.841704741120338e-05,7.21754264831543,0.0,7834,True,17.3858,1.3909,16687335.0557,79600030.7474
lzma_default,medium_test.fasta,7834,1472,0.0008277320303022861,6.550410762429237e-05,93.12517929077148,0.0,7834,True,18.7899,1.5032,9464415.6722,119595553.3801
VCSDplus,repetitive_codon_test.fasta,23171,8570,0.10158296301960945,0.09759179083630443,14.332351684570312,709.9970703125,23171,True,36.9859,2.9589,228099.2729,237427.757
